,voltage,current,power,label,v_norm,I_norm
632,29855,7027,209.791085,273,,
633,30256,7032,212.760192,273,,
634,30660,7040,215.8464,273,,
635,31083,7036,218.699988,273,,
636,31519,7042,221.956798,273,,
637,31968,7009,224.063712,273,,
638,32417,6980,226.27066,273,,
639,32882,6951,228.562782,273,,
640,33371,6946,231.794966,273,,
641,33874,6948,235.356552,273,,
642,34393,6970,239.71921,273,,
643,34921,6972,243.469212,273,,
644,35456,6969,247.092864,273,,
645,36026,6932,249.732232,273,,
646,36616,6880,251.91808,273,,
647,37217,6840,254.56428,273,,
648,37825,6808,257.5126,273,,
649,38472,6788,261.147936,273,,
650,39142,6773,265.108766,273,,
651,39835,6735,268.288725,273,,
652,40536,6677,270.658872,273,,
653,41270,6531,269.53437,273,,
654,42004,6275,263.5751,273,,
655,42743,5827,249.063461,273,,
656,43494,5284,229.822296,273,,
657,44253,4669,206.617257,273,,
658,45060,4123,185.78238,273,,
659,45883,3484,159.856372,273,,
660,46721,2830,132.22043,273,,
661,47534,2201,104.622334,273,,
662,48322,1648,79.634656,273,,
663,49120,1045,51.3304,273,,
678,49121,1052,51.675292,273,,
679,48302,1611,77.814522,274,,
680,47528,2188,103.991264,274,,
681,46718,2837,132.538966,274,,
682,45884,3489,160.089276,274,,
683,45064,4153,187.150792,274,,
684,44260,4717,208.77442,274,,
685,43495,5334,232.00233,274,,
686,42743,5843,249.747349,274,,
687,42002,6243,262.218486,274,,
688,41261,6476,267.206236,274,,
689,40527,6640,269.09928,274,,
690,39826,6737,268.307762,274,,
691,39144,6798,266.100912,274,,
692,38478,6834,262.958652,274,,
693,37829,6828,258.296412,274,,
694,37204,6832,254.177728,274,,
695,36608,6865,251.31392,274,,
696,36023,6883,247.946309,274,,
697,35462,6937,245.999894,274,,
698,34917,6965,243.196905,274,,
699,34388,6975,239.8563,274,,
700,33873,6979,236.399667,274,,
701,33371,6960,232.26216,274,,
702,32880,6960,228.8448,274,,
703,32412,6970,225.91164,274,,
704,31956,6993,223.468308,274,,
705,31520,7025,221.428,274,,
706,31082,7054,219.252428,274,,
707,30252,7036,212.853072,274,,
708,29852,7026,209.740152,274,,
709,29464,7024,206.955136,274,,
710,29088,7043,204.866784,274,,
711,28716,7058,202.677528,274,,
712,28357,7074,200.597418,274,,
713,28017,7086,198.528462,274,,
714,27674,7086,196.097964,274,,
715,27335,7075,193.395125,274,,
716,27006,7063,190.743378,274,,
717,26691,7068,188.651988,274,,
718,26381,7080,186.77748,274,,
719,26076,7092,184.930992,274,,
720,25781,7105,183.174005,274,,
721,25485,7112,181.24932,274,,
722,25203,7103,179.016909,274,,
739,24924,7097,176.885628,22,,
740,25204,7087,178.620748,22,,
