,v_in,v_out
4331,33722.0,5137.0
4332,33224.0,5123.0
4333,32275.0,5137.0
4334,31825.0,5157.0
4335,31389.0,5187.0
4336,30958.0,5200.0
4337,30539.0,5198.0
4338,29734.0,5182.0
4339,29353.0,5186.0
4340,28985.0,5196.0
4341,28611.0,5211.0
4342,28261.0,5233.0
4343,27917.0,5236.0
4344,27571.0,5232.0
4345,26919.0,5218.0
4346,26597.0,5228.0
4347,26286.0,5237.0
4348,25987.0,5245.0
4349,25697.0,5257.0
4350,25405.0,5254.0
4351,25117.0,5261.0
4352,24843.0,5249.0
4353,24576.0,5251.0
4354,24305.0,5254.0
4355,24047.0,5265.0
4356,23795.0,5268.0
4357,23545.0,5271.0
4358,23060.0,5273.0
4359,22830.0,5267.0
4360,23057.0,5267.0
4361,23302.0,5266.0
4362,23798.0,5267.0
4363,24050.0,5268.0
4364,24306.0,5267.0
4365,24843.0,5261.0
4366,25123.0,5243.0
4367,25406.0,5251.0
4368,25985.0,5240.0
4369,26291.0,5252.0
4370,26603.0,5251.0
4371,26923.0,5239.0
4372,27570.0,5216.0
4373,27915.0,5210.0
4374,28262.0,5212.0
4375,28616.0,5211.0
4376,28985.0,5228.0
4377,29354.0,5224.0
4378,29739.0,5211.0
4379,30138.0,5193.0
4380,30542.0,5180.0
4381,30956.0,5161.0
4382,31384.0,5158.0
4383,31823.0,5168.0
4384,32284.0,5170.0
4385,32753.0,5170.0
4386,33232.0,5155.0
4387,33725.0,5130.0
4388,34231.0,5093.0
4389,34757.0,5064.0
4390,35295.0,5051.0
4391,35853.0,5035.0
4392,36433.0,5028.0
4393,37030.0,5001.0
4394,37643.0,4953.0
4395,38279.0,4881.0
4396,38917.0,4733.0
4397,39572.0,4489.0
4398,40234.0,4103.0
4399,40922.0,3702.0
4400,41625.0,3301.0
4401,42342.0,2865.0
4402,43082.0,2410.0
4403,43767.0,1996.0
4404,44476.0,1537.0
4405,45207.0,1107.0
4406,45987.0,632.0
4407,46946.0,38.0
4408,46950.0,39.0
4409,46951.0,36.0
4410,46950.0,38.0
4411,46950.0,35.0
4412,46950.0,34.0
4413,46952.0,31.0
4414,46950.0,33.0
4415,46952.0,32.0
4416,46952.0,33.0
4417,46951.0,35.0
4418,46951.0,37.0
4419,46950.0,33.0
4420,46948.0,33.0
4421,46949.0,36.0
4422,46950.0,38.0
4423,46949.0,37.0
4424,46948.0,40.0
4425,46948.0,34.0
4426,45982.0,627.0
4427,45205.0,1097.0
4428,44475.0,1545.0
4429,43766.0,1995.0
4430,43084.0,2408.0
4431,42345.0,2877.0
4432,41626.0,3312.0
4433,40922.0,3725.0
4434,40243.0,4125.0
4435,39572.0,4477.0
4436,38912.0,4716.0
4437,38272.0,4850.0
4438,37641.0,4955.0
4439,37033.0,5005.0
4440,36439.0,5042.0
4441,35855.0,5064.0
4442,35296.0,5056.0
4443,34755.0,5064.0
4444,34228.0,5094.0
4445,33724.0,5114.0
4446,33232.0,5152.0
4447,32748.0,5162.0
4448,32283.0,5170.0
4449,31829.0,5168.0
4450,31386.0,5158.0
4451,30955.0,5157.0
4452,30538.0,5170.0
4453,30133.0,5198.0
4454,29741.0,5210.0
4455,29358.0,5222.0
4456,28982.0,5224.0
4457,28611.0,5212.0
4458,28263.0,5209.0
4459,27915.0,5214.0
4460,27573.0,5215.0
4461,27242.0,5233.0
4462,26923.0,5237.0
4463,26602.0,5249.0
4464,26293.0,5250.0
4465,25987.0,5242.0
4466,25696.0,5245.0
4467,25405.0,5238.0
4468,25125.0,5258.0
4469,24849.0,5261.0
4470,24575.0,5266.0
4471,24306.0,5267.0
4472,24051.0,5269.0
4473,23797.0,5264.0
4474,23550.0,5263.0
4475,23302.0,5263.0
4476,23056.0,5268.0
4477,22827.0,5273.0
4478,23058.0,5277.0
4479,23305.0,5270.0
4480,23547.0,5260.0
4481,23792.0,5258.0
4482,24049.0,5254.0
4483,24305.0,5256.0
4484,24847.0,5259.0
4485,25123.0,5260.0
4486,25409.0,5263.0
4487,25701.0,5258.0
4488,25989.0,5247.0
4489,26289.0,5229.0
4490,26922.0,5228.0
4491,27242.0,5234.0
4492,27576.0,5239.0
4493,27920.0,5238.0
4494,28262.0,5226.0
4495,28616.0,5209.0
4496,28983.0,5200.0
4497,29355.0,5189.0
4498,29737.0,5192.0
4499,30136.0,5193.0
4500,30544.0,5201.0
4501,30962.0,5201.0
4502,31828.0,5159.0
4503,32280.0,5141.0
4504,32748.0,5122.0
4505,33726.0,5117.0
4506,35301.0,5090.0
4507,35861.0,5056.0
4508,36439.0,5014.0
4509,37027.0,4955.0
4510,37635.0,4907.0
4511,38275.0,4855.0
4512,38924.0,4752.0
4513,39579.0,4525.0
4514,40240.0,4149.0
4515,40922.0,3724.0
4516,41630.0,3280.0
4517,42343.0,2838.0
4518,43080.0,2388.0
4519,44476.0,1551.0
4520,45208.0,1111.0
4521,45986.0,623.0
4522,46776.0,140.0
4523,46949.0,39.0
4524,46947.0,37.0
4525,46949.0,34.0
4526,46947.0,36.0
4527,46950.0,35.0
4528,46951.0,35.0
4529,46952.0,35.0
4530,46952.0,32.0
4531,46954.0,35.0
4532,46952.0,35.0
4533,46952.0,38.0
4534,46951.0,34.0
4535,46948.0,37.0
4536,46948.0,40.0
4537,46948.0,36.0
4538,46948.0,36.0
4539,46949.0,38.0
4540,45983.0,631.0
4541,45207.0,1106.0
4542,44480.0,1554.0
4543,43765.0,1986.0
4544,43081.0,2391.0
4545,42336.0,2840.0
4546,41625.0,3269.0
4547,40239.0,4143.0
4548,39575.0,4528.0
4549,38920.0,4766.0
4550,38281.0,4873.0
4551,37647.0,4922.0
4552,37028.0,4965.0
4553,36431.0,5000.0
4554,35856.0,5035.0
4555,34764.0,5120.0
4556,34229.0,5129.0
4557,32746.0,5121.0
4558,32279.0,5140.0
4559,31825.0,5157.0
4560,31390.0,5189.0
4561,30961.0,5200.0
4562,30545.0,5205.0
4563,30135.0,5201.0
4564,29735.0,5186.0
4565,29353.0,5184.0
4566,28982.0,5200.0
4567,28615.0,5216.0
4568,27918.0,5232.0
4569,27573.0,5227.0
4570,27245.0,5227.0
4571,26924.0,5220.0
4572,26601.0,5226.0
4573,26291.0,5233.0
4574,25990.0,5247.0
4575,25702.0,5258.0
4576,25406.0,5267.0
4577,25125.0,5253.0
4578,24842.0,5253.0
