,voltage,current,power,label
9313,30866.0,9900.0,305.5734,97
9314,31292.0,9906.0,309.978552,97
9315,31725.0,9891.0,313.791975,97
9316,32178.0,9857.0,317.178546,97
9317,33116.0,9793.0,324.304988,97
9318,34111.0,9790.0,333.94669,97
9319,35179.0,9803.0,344.859737,97
9320,36314.0,9754.0,354.206756,97
9321,37502.0,9648.0,361.819296,97
9322,38132.0,9614.0,366.601048,97
9323,38786.0,9585.0,371.76381,97
9324,39468.0,9579.0,378.063972,97
9325,40166.0,9579.0,384.750114,97
9326,40888.0,9530.0,389.66264,97
9327,41637.0,9438.0,392.970006,97
9328,42400.0,9290.0,393.896,97
9329,43184.0,9063.0,391.376592,97
9330,43978.0,8681.0,381.773018,97
9331,44754.0,8050.000000000001,360.2697,97
9332,45548.0,7321.0,333.456908,97
9333,46353.0,6501.0,301.340853,97
9334,48043.0,4770.0,229.16511,97
9335,50678.0,2083.0,105.562274,97
9336,51466.0,1285.0,66.13381,97
9337,52266.0,438.0,22.892508,97
9338,48919.0,3860.0,188.82734,98
9339,48035.0,4754.0,228.35839,98
9340,47183.0,5652.0,266.678316,98
9341,46358.0,6497.0,301.187926,98
9342,45561.0,7357.0,335.192277,98
9343,44769.0,8144.0,364.598736,98
9344,43972.0,8758.0,385.106776,98
9345,43175.0,9073.0,391.726775,98
9346,42393.0,9226.0,391.117818,98
9347,41632.0,9358.0,389.592256,98
9348,40886.0,9483.0,387.721938,98
9349,39464.0,9639.0,380.393496,98
9350,38793.0,9646.0,374.197278,98
9351,37509.0,9654.0,362.111886,98
9352,36892.0,9680.0,357.11456,98
9353,35725.0,9759.0,348.640275,98
9354,34646.0,9828.0,340.500888,98
9355,34121.0,9826.0,335.272946,98
9356,33605.0,9800.0,329.329,98
9357,33109.0,9794.0,324.269546,98
9358,32636.000000000004,9797.0,319.734892,98
9359,32177.0,9833.0,316.396441,98
9360,31730.0,9873.0,313.27029,98
9361,31292.0,9905.0,309.94726,98
9362,30859.0,9897.0,305.411523,98
9363,30452.0,9890.0,301.17028,98
9364,30044.0,9869.0,296.504236,98
9365,29270.0,9889.0,289.45103,98
9366,28896.0,9909.0,286.330464,98
9367,28532.0,9931.0,283.351292,98
9368,28183.0,9954.0,280.533582,98
9369,27839.0,9944.0,276.831016,98
9370,27499.0,9936.0,273.230064,98
9371,27167.0,9928.0,269.713976,98
9372,26841.0,9925.0,266.396925,98
9373,26523.0,9938.0,263.585574,98
9374,26220.0,9948.0,260.83656,98
9375,25919.0,9966.0,258.308754,98
9376,25336.0,9975.0,252.7266,98
9377,24781.0,9974.0,247.165694,99
9378,25055.0,9961.0,249.572855,99
9379,25335.0,9948.0,252.03258,99
9380,25629.0,9949.0,254.982921,99
9381,26223.0,9952.0,260.971296,99
9382,26844.0,9963.0,267.446772,99
9383,27495.0,9931.0,273.052845,99
9384,28180.0,9907.0,279.17926,99
9385,29276.0,9923.0,290.505748,99
9386,30045.0,9923.0,298.136535,99
9387,30858.0,9855.0,304.10559,99
9388,31727.0,9827.0,311.781229,99
9389,32176.000000000004,9833.0,316.386608,99
9390,33118.0,9861.0,326.576598,99
9391,33617.0,9849.0,331.093833,99
9392,34642.0,9778.0,338.729476,99
9393,35171.0,9742.0,342.635882,99
9394,36298.0,9706.0,352.308388,99
9395,37521.0,9722.0,364.779162,99
9396,38148.0,9711.0,370.455228,99
9397,39460.0,9577.0,377.90842,99
9398,40890.0,9415.0,384.97935,99
9399,42393.0,9275.0,393.195075,99
9400,43974.0,8755.0,384.99237,99
9401,44762.0,8044.000000000001,360.065528,99
9402,46347.0,6383.0,295.832901,99
9403,48908.0,3804.0,186.046032,99
9404,49814.0,2887.0,143.813018,99
9405,51437.0,1216.0,62.547392,99
9406,52218.0,405.0,21.14829,99
9407,50650.0,2028.0,102.7182,100
9408,48032.0,4727.0,227.047264,100
9409,47172.0,5582.0,263.314104,100
9410,45533.0,7178.0,326.835874,100
9411,43966.0,8704.0,382.680064,100
9412,43176.0,9124.0,393.937824,100
9413,42396.0,9317.0,395.003532,100
9414,41640.0,9414.0,391.99896,100
9415,40890.0,9465.0,387.02385,100
9416,40156.0,9499.0,381.441844,100
9417,39454.0,9536.0,376.233344,100
9418,38779.0,9585.0,371.696715,100
9419,38139.0,9658.0,368.346462,100
9420,37513.0,9728.0,364.926464,100
9421,36909.0,9753.0,359.973477,100
9422,35722.0,9742.0,348.003724,100
9423,35170.0,9728.0,342.13376,100
9424,34641.0,9742.0,337.472622,100
9425,34119.0,9781.0,333.717939,100
9426,33613.0,9833.0,330.516629,100
9427,33116.0,9866.0,326.722456,100
9428,32642.000000000004,9872.0,322.241824,100
9429,32178.0,9864.0,317.403792,100
9430,31728.0,9833.0,311.981424,100
9431,31289.0,9836.0,307.758604,100
9432,30857.0,9851.0,303.972307,100
9433,30047.0,9908.0,297.705676,100
9434,29653.0,9932.0,294.513596,100
9435,28528.0,9899.0,282.398672,100
9436,28178.0,9900.0,278.9622,100
9437,27837.0,9916.0,276.031692,100
9438,27170.0,9959.0,270.58603,100
9439,26844.0,9961.0,267.393084,100
9440,26522.0,9954.0,263.999988,100
9441,26221.0,9948.0,260.846508,100
9442,25918.0,9945.0,257.75451,100
9443,25628.0,9951.0,255.024228,100
9444,25337.0,9955.0,252.229835,100
9445,25053.0,9973.0,249.853569,100
9446,24515.0,9971.0,244.439065,101
9447,25336.0,9977.0,252.777272,101
9448,25630.0,9975.0,255.65925,101
9449,25921.0,9963.0,258.250923,101
9450,26222.0,9943.0,260.725346,101
9451,26526.0,9930.0,263.40318,101
9452,26839.0,9930.0,266.51127,101
9453,27166.0,9924.0,269.595384,101
9454,27498.0,9934.0,273.165132,101
9455,27841.0,9948.0,276.962268,101
9456,28186.0,9950.0,280.4507,101
9457,29272.0,9882.0,289.265904,101
9458,30044.0,9869.0,296.504236,101
9459,30447.0,9878.0,300.755466,101
9460,31293.0,9894.0,309.612942,101
9461,31730.0,9886.0,313.68278,101
9462,32183.0,9865.0,317.485295,101
9463,32642.000000000004,9822.0,320.609724,101
9464,33112.0,9784.0,323.967808,101
9465,33606.0,9775.0,328.49865,101
9466,34115.0,9784.0,333.78116,101
9467,34646.0,9797.0,339.426862,101
9468,35182.0,9802.0,344.853964,101
9469,35731.0,9801.0,350.199531,101
9470,36303.0,9753.0,354.063159,101
9471,37511.0,9641.0,361.643551,101
9472,38778.0,9599.0,372.230022,101
9473,40162.0,9556.0,383.788072,101
9474,40895.0,9515.0,389.115925,101
9475,41649.0,9429.0,392.708421,101
9476,42400.0,9292.0,393.9808,101
9477,43178.0,9074.0,391.797172,101
9478,43963.0,8655.0,380.499765,101
9479,44752.0,8020.0,358.91104,101
9480,45548.0,7250.0,330.223,101
9481,46350.0,6442.0,298.5867,101
9482,47183.0,5648.0,266.489584,101
9483,48035.0,4744.0,227.87804,101
9484,48914.0,3828.0,187.242792,101
9485,51450.0,1238.0,63.6951,101
9486,50700.0,2124.0,107.6868,102
9487,48049.0,4785.0,229.914465,102
9488,46361.0,6561.0,304.174521,102
9489,43180.0,9094.0,392.67892,102
9490,42387.0,9238.0,391.571106,102
9491,41625.0,9362.0,389.69325,102
9492,40890.0,9470.0,387.2283,102
9493,40170.0,9579.0,384.78843,102
9494,39470.0,9641.0,380.53027,102
9495,38788.0,9662.0,374.769656,102
9496,38138.0,9647.0,367.917286,102
9497,37503.0,9650.0,361.90395,102
9498,36897.0,9672.0,356.867784,102
9499,35726.0,9770.0,349.04302,102
9500,34125.0,9816.0,334.971,102
9501,33111.0,9796.0,324.355356,102
9502,32172.0,9844.0,316.701168,102
9503,31729.0,9876.0,313.355604,102
9504,30869.0,9917.0,306.127873,102
9505,30039.0,9876.0,296.665164,102
9506,29650.0,9871.0,292.67515,102
9507,29274.0,9884.0,289.344216,102
9508,28899.0,9912.0,286.446888,102
9509,28536.0,9941.0,283.676376,102
9510,28183.0,9945.0,280.279935,102
9511,27836.0,9947.0,276.884692,102
9512,27498.0,9931.0,273.082638,102
9513,27170.0,9928.0,269.74376,102
9514,26844.0,9942.0,266.883048,102
9515,25920.0,9973.0,258.50016,102
9516,25339.0,9977.0,252.807203,102
9517,24512.0,9989.0,244.850368,103
