,voltage,current,duty
695,25860.0,1023.0,612
696,26555.0,1005.0,635
697,25543.0,1035.0,620
698,27438.0,944.0,615
699,26311.0,1008.0,620
700,26347.0,1013.0,627
701,26907.0,992.0,627
702,27038.0,980.0,611
703,26740.0,991.0,631
704,26598.0,1002.0,634
705,25972.0,1021.0,629
706,25692.0,1029.0,636
707,26253.0,1011.0,622
708,24824.0,1042.0,659
709,26380.0,1009.0,618
710,25980.0,1022.0,629
711,27757.0,865.0,608
712,26259.0,1004.0,624
713,24971.0,1048.0,655
714,26738.0,1000.0,606
715,25860.0,1032.0,652
716,26267.0,1015.0,602
717,26374.0,1011.0,599
718,25948.0,1027.0,625
719,26679.0,994.0,613
720,26597.0,1002.0,612
721,25859.0,1026.0,633
722,27521.0,930.0,613
723,25575.0,1029.0,619
724,26313.0,1005.0,619
725,26014.0,1026.0,628
726,25940.0,1033.0,634
727,26993.0,978.0,625
728,25617.0,1030.0,631
729,25980.0,1022.0,630
730,25774.0,1030.0,631
731,26486.0,1005.0,617
732,26149.0,1014.0,628
733,25739.0,1029.0,655
734,24839.0,1047.0,648
735,24742.0,1045.0,655
736,26385.0,1004.0,639
737,25579.0,1027.0,626
738,25824.0,1032.0,640
739,27724.0,1002.0,609
740,25362.0,1104.0,635
741,26487.0,1085.0,631
742,25616.0,1105.0,618
743,27274.0,1046.0,619
744,27309.0,1049.0,618
745,27213.0,1043.0,600
746,26314.0,1092.0,621
747,26830.0,1078.0,602
748,27671.0,1016.0,607
749,27227.0,1052.0,604
750,27188.0,1059.0,600
751,26357.0,1092.0,626
752,27278.0,1057.0,602
753,26266.0,1088.0,616
754,27000.0,1067.0,612
755,26450.0,1088.0,604
756,26154.0,1101.0,625
757,26919.0,1065.0,606
758,26119.0,1097.0,622
759,26165.0,1093.0,625
760,26483.0,1092.0,603
761,26436.0,1083.0,621
762,26604.0,1080.0,608
763,26441.0,1087.0,620
764,27273.0,1056.0,600
765,26360.0,1084.0,616
766,26512.0,1083.0,620
767,26609.0,1082.0,606
768,26116.0,1102.0,606
769,25940.0,1088.0,610
770,26483.0,1089.0,625
771,25862.0,1101.0,620
772,25961.0,1106.0,624
773,26670.0,1076.0,611
774,26483.0,1085.0,616
775,27866.0,998.0,606
776,27267.0,1057.0,599
777,26390.0,1083.0,612
778,26567.0,1081.0,618
779,26431.0,1092.0,599
780,27178.0,1065.0,621
781,27323.0,1048.0,578
782,26436.0,1089.0,598
783,26404.0,1090.0,607
784,25953.0,1106.0,626
785,26393.0,1082.0,619
786,26153.0,1103.0,626
787,27501.0,1030.0,614
788,26267.0,1095.0,609
789,26271.0,1094.0,625
